article_id,store_id,promo_year,event_code,promo_type,start_date,end_date,is_in_flyer,flyer_code
9705795,228,2017,D2,11,2017-11-30,2017-12-08,f,
7466223,228,2017,D2,11,2017-11-30,2017-12-08,f,
8556008,228,2017,D2,20,2017-11-30,2017-12-08,f,
560386,228,2017,L3,11,2017-12-01,2018-01-06,f,
322540,228,2017,D2,20,2017-11-30,2017-12-08,t,
7343012,228,2017,D2,11,2017-11-30,2017-12-08,t,
8437642,228,2017,D2,10,2017-11-30,2017-12-08,f,
2216885,228,2017,L3,20,2017-12-01,2017-12-31,f,
1441356,228,2017,D2,11,2017-11-30,2017-12-08,f,
640996,228,2017,D2,11,2017-11-30,2017-12-08,t,E
9397907,228,2017,D2,11,2017-11-30,2017-12-08,f,
8088097,228,2017,D2,11,2017-11-30,2017-12-08,f,
7544860,228,2017,D2,11,2017-11-30,2017-12-08,t,
1302404,228,2017,D4,04,2017-12-15,2018-01-04,f,
1302404,228,2017,W3,04,2017-12-01,2017-12-14,f,
8873976,228,2017,L3,15,2017-12-01,2017-12-31,f,
8739746,228,2017,D4,11,2017-12-15,2017-12-31,f,
8739746,228,2017,D2,11,2017-11-30,2017-12-08,f,
189457,228,2017,Z4,20,2017-04-06,2019-12-31,f,
192976,228,2017,D0,11,2017-11-13,2017-11-23,t,
193171,228,2017,D0,11,2017-11-13,2017-11-23,t,
8151364,228,2017,D2,11,2017-11-30,2017-12-08,f,
199418,228,2017,L2,04,2017-11-10,2017-11-25,f,
199432,228,2017,L2,04,2017-11-10,2017-11-25,f,
8940906,228,2017,D2,20,2017-11-30,2017-12-08,f,
199463,228,2017,L2,04,2017-11-10,2017-11-25,f,
199494,228,2017,L2,04,2017-11-10,2017-11-25,f,
6977775,228,2017,D2,11,2017-11-30,2017-12-08,f,
29678,228,2017,L3,10,2017-12-01,2017-12-31,f,
617974,228,2017,D2,11,2017-11-30,2017-12-08,f,
204402,228,2017,Z8,11,2017-08-10,2017-11-30,f,
9836109,228,2017,L3,15,2017-12-01,2017-12-31,f,
204426,228,2017,Z9,11,2017-09-06,2018-02-28,f,
9176687,228,2017,D2,20,2017-11-30,2017-12-08,f,
6037905,228,2017,L3,20,2017-12-01,2017-12-31,f,
8874010,228,2017,L3,15,2017-12-01,2017-12-31,f,
8509073,228,2017,D3,20,2017-12-09,2017-12-14,f,
4375160,228,2017,D2,11,2017-11-30,2017-12-08,f,
8737407,228,2017,D4,11,2017-12-15,2017-12-31,f,
205966,228,2017,Z8,11,2017-08-10,2017-11-30,f,
8452997,228,2017,D2,11,2017-11-30,2017-12-08,f,
1301735,228,2017,L3,15,2017-12-01,2017-12-31,f,
8895657,228,2017,D2,15,2017-11-30,2017-12-08,f,
3206175,228,2017,D2,11,2017-11-30,2017-12-08,f,
8347842,228,2017,D2,15,2017-11-30,2017-12-08,t,
207410,228,2017,Z9,11,2017-09-06,2018-02-28,f,
8899846,228,2017,L3,11,2017-12-01,2018-01-06,f,
8544562,228,2017,L3,10,2017-12-01,2017-12-31,f,
215705,228,2017,Z8,11,2017-08-10,2017-11-30,f,
9341535,228,2017,L3,20,2017-12-01,2017-12-31,f,
8812203,228,2017,D2,11,2017-11-30,2017-12-08,f,
9674770,228,2017,D2,11,2017-11-30,2017-12-08,t,
1484629,228,2017,D4,11,2017-12-15,2017-12-31,t,
223762,228,2017,Z8,11,2017-08-10,2017-11-30,f,
1484629,228,2017,D2,11,2017-11-30,2017-12-08,t,
8293286,228,2017,D2,11,2017-11-30,2017-12-08,t,
6860282,228,2017,L3,20,2017-12-01,2017-12-31,f,
4782159,228,2017,L3,20,2017-12-01,2017-12-31,f,
224288,228,2017,D0,11,2017-11-13,2017-11-23,f,
6627878,228,2017,D4,11,2017-12-15,2017-12-31,t,
1351037,228,2017,D2,15,2017-11-30,2017-12-08,f,
7228241,228,2017,D2,11,2017-11-30,2017-12-08,t,
9411986,228,2017,D2,11,2017-11-30,2017-12-08,f,
9411986,228,2017,D4,11,2017-12-15,2017-12-31,t,
292966,228,2017,D4,11,2017-12-15,2017-12-31,f,
267865,228,2017,L3,11,2017-12-01,2018-01-06,f,
171803,228,2017,D2,15,2017-11-30,2017-12-08,f,
8384892,228,2017,D2,11,2017-11-30,2017-12-08,t,
7338889,228,2017,D2,15,2017-11-30,2017-12-08,f,
7967430,228,2017,D2,11,2017-11-30,2017-12-08,t,
8104728,228,2017,D2,15,2017-11-30,2017-12-08,f,
295295,228,2017,D2,15,2017-11-30,2017-12-08,f,
7001639,228,2017,D4,15,2017-12-15,2017-12-31,f,
7001639,228,2017,D2,04,2017-11-30,2017-12-08,t,
8144113,228,2017,D2,11,2017-11-30,2017-12-08,t,
4017336,228,2017,D2,15,2017-11-30,2017-12-08,f,
9674961,228,2017,D2,15,2017-11-30,2017-12-08,f,
7222881,228,2017,D2,15,2017-11-30,2017-12-08,f,
9880829,228,2017,L3,20,2017-12-01,2017-12-31,f,
232450,228,2017,L2,20,2017-11-01,2017-11-30,f,
568467,228,2017,D2,11,2017-11-30,2017-12-08,t,
5182330,228,2017,D2,11,2017-11-30,2017-12-08,f,
233839,228,2017,M8,11,2017-11-08,2017-12-24,t,
233877,228,2017,M8,11,2017-11-08,2017-12-24,t,
233884,228,2017,M8,11,2017-11-08,2017-12-24,t,
233938,228,2017,M8,11,2017-11-08,2017-12-24,t,
233945,228,2017,M8,11,2017-11-08,2017-12-24,t,
233952,228,2017,M8,11,2017-11-08,2017-12-24,t,
233969,228,2017,M8,11,2017-11-08,2017-12-24,t,
9744749,228,2017,D2,11,2017-11-30,2017-12-08,t,
233976,228,2017,M8,11,2017-11-08,2017-12-24,t,
8420248,228,2017,D2,04,2017-11-30,2017-12-08,t,
8816188,228,2017,D2,11,2017-11-30,2017-12-08,t,E
7626528,228,2017,L3,15,2017-12-01,2017-12-31,f,
7339305,228,2017,D2,15,2017-11-30,2017-12-08,f,
789701,228,2017,D2,20,2017-11-30,2017-12-08,t,
1286834,228,2017,D2,11,2017-11-30,2017-12-08,t,
8509141,228,2017,D2,11,2017-11-30,2017-12-08,t,
691684,228,2017,W2,11,2017-11-24,2018-01-15,f,
234034,228,2017,M8,11,2017-11-08,2017-12-24,t,
7418482,228,2017,L3,20,2017-12-01,2017-12-31,f,
268466,228,2017,D2,11,2017-11-30,2017-12-08,t,
9178735,228,2017,D2,20,2017-11-30,2017-12-08,t,
7951026,228,2017,U0,11,2017-12-18,2018-01-07,f,
9734641,228,2017,L3,11,2017-12-01,2018-01-06,f,
7761199,228,2017,D3,11,2017-12-09,2017-12-14,t,
8553380,228,2017,D2,15,2017-11-30,2017-12-08,f,
6872445,228,2017,D2,11,2017-11-30,2017-12-08,f,
6037493,228,2017,L3,30,2017-12-01,2017-12-31,f,
9817634,228,2017,D2,11,2017-11-30,2017-12-08,f,
7800799,228,2017,L3,20,2017-12-01,2017-12-31,f,
8936459,228,2017,D2,15,2017-11-30,2017-12-08,t,
6994697,228,2017,D3,04,2017-12-09,2017-12-14,f,
8362852,228,2017,D4,15,2017-12-15,2017-12-31,f,
5108644,228,2017,D3,04,2017-12-09,2017-12-14,f,
6240114,228,2017,D4,11,2017-12-15,2017-12-31,f,
8317906,228,2017,D4,11,2017-12-15,2017-12-31,f,
8317906,228,2017,D2,11,2017-11-30,2017-12-08,f,
4302982,228,2017,D4,10,2017-12-15,2017-12-31,f,
5708110,228,2017,L3,20,2017-12-01,2017-12-31,f,
8588702,228,2017,D2,15,2017-11-30,2017-12-08,f,
9016853,228,2017,D2,15,2017-11-30,2017-12-08,f,
7164013,228,2017,D2,04,2017-11-30,2017-12-08,t,
781095,228,2017,D2,11,2017-11-30,2017-12-08,t,
8203230,228,2017,D2,11,2017-11-30,2017-12-08,t,
8430179,228,2017,D2,04,2017-11-30,2017-12-08,t,
6854960,228,2017,D2,15,2017-11-30,2017-12-08,f,
7447901,228,2017,L3,20,2017-12-01,2017-12-31,f,
5118988,228,2017,D2,11,2017-11-30,2017-12-08,t,
9172856,228,2017,D2,11,2017-11-30,2017-12-08,t,
7479797,228,2017,D2,11,2017-11-30,2017-12-08,f,
292751,228,2017,D2,15,2017-11-30,2017-12-08,f,
1482991,228,2017,D2,15,2017-11-30,2017-12-08,f,
7524800,228,2017,D2,20,2017-11-30,2017-12-08,t,
9763672,228,2017,D2,11,2017-11-30,2017-12-08,t,E
9097784,228,2017,D2,15,2017-11-30,2017-12-08,f,
7180525,228,2017,D2,15,2017-11-30,2017-12-08,f,
3985377,228,2017,D2,15,2017-11-30,2017-12-08,f,
5395761,228,2017,D2,20,2017-11-30,2017-12-08,f,
5597370,228,2017,D2,11,2017-11-30,2018-01-07,f,
7440230,228,2017,L3,10,2017-12-01,2017-12-31,t,
4374910,228,2017,D2,11,2017-11-30,2017-12-08,f,
